"","Gene.set.name","Category"
"1233","Symbiosis, Encompassing Mutualism Through Parasitism","BP"
"1234","Synaptic Transmission","BP"
"1235","System Development","BP"
"1236","System Process","BP"
"1237","S Phase","BP"
"1238","S Phase Of Mitotic Cell Cycle","BP"
"1239","Telomere Maintenance","BP"
"1240","Telomere Organization","BP"
"1241","Terpenoid Biosynthetic Process","BP"
"1242","Terpenoid Metabolic Process","BP"
"1243","Tetracycline Transport","BP"
"1244","Tetrapyrrole Biosynthetic Process","BP"
"1245","Tetrapyrrole Catabolic Process","BP"
"1246","Tetrapyrrole Metabolic Process","BP"
"1247","Tetraterpenoid Biosynthetic Process","BP"
"1248","Tetraterpenoid Metabolic Process","BP"
"1249","Thiamine-Containing Compound Biosynthetic Process","BP"
"1250","Thiamine-Containing Compound Metabolic Process","BP"
"1251","Thiamine Biosynthetic Process","BP"
"1252","Thiamine Diphosphate Biosynthetic Process","BP"
"1253","Thiamine Diphosphate Metabolic Process","BP"
"1254","Thiamine Metabolic Process","BP"
"1255","Threonine Biosynthetic Process","BP"
"1256","Threonine Metabolic Process","BP"
"1257","Threonyl-Trna Aminoacylation","BP"
"1258","Transcription, Dna-Dependent","BP"
"1259","Transcription From Rna Polymerase Iii Promoter","BP"
"1260","Transcription From Rna Polymerase Ii Promoter","BP"
"1261","Transcription Initiation From Rna Polymerase Ii Promoter","BP"
"1262","Transition Metal Ion Transport","BP"
"1263","Translation","BP"
"1264","Translational Elongation","BP"
"1265","Translational Initiation","BP"
"1266","Translational Termination","BP"
"1267","Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway","BP"
"1268","Transmembrane Transport","BP"
"1269","Transmission Of Nerve Impulse","BP"
"1270","Transport","BP"
"1271","Transposition","BP"
"1272","Transposition, Dna-Mediated","BP"
"1273","Trehalose Biosynthetic Process","BP"
"1274","Trehalose Metabolic Process","BP"
"1275","Tricarboxylic Acid Cycle","BP"
"1276","Tricarboxylic Acid Cycle Intermediate Metabolic Process","BP"
"1277","Tricarboxylic Acid Transport","BP"
"1278","Trna 5-Leader Removal","BP"
"1279","Trna Aminoacylation","BP"
"1280","Trna Aminoacylation For Protein Translation","BP"
"1281","Trna Metabolic Process","BP"
"1282","Trna Modification","BP"
"1283","Trna Processing","BP"
"1284","Trna Pseudouridine Synthesis","BP"
"1285","Trna Splicing, Via Endonucleolytic Cleavage And Ligation","BP"
"1286","Tryptophanyl-Trna Aminoacylation","BP"
"1287","Tryptophan Biosynthetic Process","BP"
"1288","Tryptophan Metabolic Process","BP"
"1289","Tubulin Complex Assembly","BP"
"1290","Two-Component Signal Transduction System (Phosphorelay)","BP"
"1291","Type I Hypersensitivity","BP"
"1292","Tyrosine Biosynthetic Process","BP"
"1293","Tyrosine Metabolic Process","BP"
"1294","Tyrosyl-Trna Aminoacylation","BP"
"1295","Ubiquinone Biosynthetic Process","BP"
"1296","Ubiquinone Metabolic Process","BP"
"1297","Ubiquitin-Dependent Protein Catabolic Process","BP"
"1298","Ubiquitin Cycle","BP"
"1299","Ump Biosynthetic Process","BP"
"1300","Ump Metabolic Process","BP"
"1301","Unsaturated Fatty Acid Biosynthetic Process","BP"
"1302","Unsaturated Fatty Acid Metabolic Process","BP"
"1303","Uracil Metabolic Process","BP"
"1304","Uracil Salvage","BP"
"1305","Urea Metabolic Process","BP"
"1306","Utp Biosynthetic Process","BP"
"1307","Utp Metabolic Process","BP"
"1308","Vacuolar Transport","BP"
"1309","Vacuole Organization","BP"
"1310","Valine Metabolic Process","BP"
"1311","Valyl-Trna Aminoacylation","BP"
"1312","Vesicle-Mediated Transport","BP"
"1313","Vesicle Coating","BP"
"1314","Vesicle Docking","BP"
"1315","Vesicle Docking Involved In Exocytosis","BP"
"1316","Vesicle Organization","BP"
"1317","Viral Reproduction","BP"
"1318","Visual Perception","BP"
"1319","Vitamin B6 Biosynthetic Process","BP"
"1320","Vitamin B6 Metabolic Process","BP"
"1321","Vitamin Biosynthetic Process","BP"
"1322","Vitamin K Biosynthetic Process","BP"
"1323","Vitamin K Metabolic Process","BP"
"1324","Vitamin Metabolic Process","BP"
"1325","Water-Soluble Vitamin Biosynthetic Process","BP"
"1326","Water-Soluble Vitamin Metabolic Process","BP"
"1327","Zinc Ion Transport","BP"
"1328","Transcription, Dna-Dependent Alternative","BP"
"1329","Cellular Amino Acid Metabolic Process Alternative","BP"
"1330","Intracellular Signal Transduction Alt2","BP"
"1331","Photosynthetic Electron Transport Chain Alternative","BP"
"1332","Negative Regulation Of Transcription, Dna-Dependent","BP"
"1333","Protein Prenylation","BP"
"1334","Glycolysis Alternative","BP"
"1335","Signal Transduction Alternative","BP"
"1336","Intracellular Signal Transduction Alt1","BP"
"1337","Signaling Alternative","BP"
"1338","Regulation Of Transcription, Dna-Dependent Alternative","BP"
"1339","Positive Regulation Of Transcription, Dna-Dependent","BP"
"1340","1,3-Beta-D-Glucan Synthase Complex","CC"
"1341","3-Isopropylmalate Dehydratase Complex","CC"
"1342","6-Phosphofructokinase Complex","CC"
"1343","Actin Cytoskeleton","CC"
"1344","Alpha Dna Polymerase:Primase Complex","CC"
"1345","Anaphase-Promoting Complex","CC"
"1346","Ap-Type Membrane Coat Adaptor Complex","CC"
"1347","Apical Junction Complex","CC"
"1348","Apicolateral Plasma Membrane","CC"
"1349","Apoplast","CC"
"1350","Bacterial-Type Flagellum","CC"
"1351","Beta-Galactosidase Complex","CC"
"1352","Camp-Dependent Protein Kinase Complex","CC"
"1353","Carboxy-Terminal Domain Protein Kinase Complex","CC"
"1354","Cation Channel Complex","CC"
"1355","Cell","CC"
"1356","Cell-Cell Junction","CC"
"1357","Cellular Component","CC"
"1358","Cell Cortex","CC"
"1359","Cell Cortex Part","CC"
"1360","Cell Envelope","CC"
"1361","Cell Fraction","CC"
"1362","Cell Junction","CC"
"1363","Cell Outer Membrane","CC"
"1364","Cell Part","CC"
"1365","Cell Projection","CC"
"1366","Cell Surface","CC"
"1367","Cell Wall","CC"
"1368","Chloroplast","CC"
"1369","Chloroplast Envelope","CC"
"1370","Chloroplast Membrane","CC"
"1371","Chloroplast Outer Membrane","CC"
"1372","Chloroplast Part","CC"
"1373","Chloroplast Ribulose Bisphosphate Carboxylase Complex","CC"
"1374","Chloroplast Stroma","CC"
"1375","Chromatin","CC"
"1376","Chromatin Remodeling Complex","CC"
"1377","Chromatin Silencing Complex","CC"
"1378","Chromosomal Part","CC"
"1379","Chromosome","CC"
"1380","Chromosome, Centromeric Region","CC"
"1381","Chromosome, Telomeric Region","CC"
"1382","Cis-Golgi Network","CC"
"1383","Clathrin-Coated Vesicle","CC"
"1384","Clathrin-Coated Vesicle Membrane","CC"
"1385","Clathrin Adaptor Complex","CC"
"1386","Clathrin Coat","CC"
"1387","Clathrin Coat Of Coated Pit","CC"
"1388","Clathrin Coat Of Trans-Golgi Network Vesicle","CC"
"1389","Clathrin Vesicle Coat","CC"
"1390","Coated Membrane","CC"
"1391","Coated Pit","CC"
"1392","Coated Vesicle","CC"
"1393","Coated Vesicle Membrane","CC"
"1394","Copi-Coated Vesicle","CC"
"1395","Copi-Coated Vesicle Membrane","CC"
"1396","Copii Vesicle Coat","CC"
"1397","Copi Vesicle Coat","CC"
"1398","Core Tfiih Complex","CC"
"1399","Cullin-Ring Ubiquitin Ligase Complex","CC"
"1400","Cytochrome B6F Complex","CC"
"1401","Cytoplasm","CC"
"1402","Cytoplasmic Membrane-Bounded Vesicle","CC"
"1403","Cytoplasmic Part","CC"
"1404","Cytoplasmic Vesicle","CC"
"1405","Cytoplasmic Vesicle Membrane","CC"
"1406","Cytoplasmic Vesicle Part","CC"
"1407","Cytoskeletal Part","CC"
"1408","Cytoskeleton","CC"
"1409","Cytosol","CC"
"1410","Cytosolic Part","CC"
"1411","Dna-Dependent Protein Kinase-Dna Ligase 4 Complex","CC"
"1412","Dna-Directed Rna Polymerase Complex","CC"
"1413","Dna-Directed Rna Polymerase Ii, Holoenzyme","CC"
"1414","Dna-Directed Rna Polymerase Iii Complex","CC"
"1415","Dna Polymerase Complex","CC"
"1416","Dna Polymerase Iii Complex","CC"
"1417","Dna Replication Factor C Complex","CC"
"1418","Endomembrane System","CC"
"1419","Endoplasmic Reticulum","CC"
"1420","Endoplasmic Reticulum Lumen","CC"
"1421","Endoplasmic Reticulum Membrane","CC"
"1422","Endoplasmic Reticulum Part","CC"
"1423","Envelope","CC"
"1424","Er To Golgi Transport Vesicle","CC"
"1425","Er To Golgi Transport Vesicle Membrane","CC"
"1426","Eukaryotic Translation Elongation Factor 1 Complex","CC"
"1427","Eukaryotic Translation Initiation Factor 2 Complex","CC"
"1428","Eukaryotic Translation Initiation Factor 3 Complex","CC"
"1429","Exocyst","CC"
"1430","External Encapsulating Structure","CC"
"1431","External Encapsulating Structure Part","CC"
"1432","Extracellular Matrix","CC"
"1433","Extracellular Region","CC"
"1434","Extracellular Region Part","CC"
"1435","Extracellular Space","CC"
"1436","Extrinsic To Membrane","CC"
"1437","F-Actin Capping Protein Complex","CC"
"1438","Flagellum","CC"
"1439","Glycerol-3-Phosphate Dehydrogenase Complex","CC"
"1440","Glycine Cleavage Complex","CC"
"1441","Golgi-Associated Vesicle","CC"
"1442","Golgi-Associated Vesicle Membrane","CC"
"1443","Golgi Apparatus","CC"
"1444","Golgi Apparatus Part","CC"
"1445","Golgi Membrane","CC"
"1446","Golgi Stack","CC"
"1447","Gpi-Anchor Transamidase Complex","CC"
"1448","H4/H2A Histone Acetyltransferase Complex","CC"
"1449","Histone Acetyltransferase Complex","CC"
"1450","Imidazoleglycerol-Phosphate Synthase Complex","CC"
"1451","Insoluble Fraction","CC"
"1452","Integral To Endoplasmic Reticulum Membrane","CC"
"1453","Integral To Golgi Membrane","CC"
"1454","Integral To Membrane","CC"
"1455","Integral To Organelle Membrane","CC"
"1456","Integral To Plasma Membrane","CC"
"1457","Integral To Thylakoid Membrane","CC"
"1458","Intracellular","CC"
"1459","Intracellular Membrane-Bounded Organelle","CC"
"1460","Intracellular Non-Membrane-Bounded Organelle","CC"
"1461","Intracellular Organelle","CC"
"1462","Intracellular Organelle Lumen","CC"
"1463","Intracellular Organelle Part","CC"
"1464","Intracellular Part","CC"
"1465","Intrinsic To Endoplasmic Reticulum Membrane","CC"
"1466","Intrinsic To Golgi Membrane","CC"
"1467","Intrinsic To Membrane","CC"
"1468","Intrinsic To Organelle Membrane","CC"
"1469","Intrinsic To Plasma Membrane","CC"
"1470","Ion Channel Complex","CC"
"1471","Large Ribosomal Subunit","CC"
"1472","Light-Harvesting Complex","CC"
"1473","Lipid Particle","CC"
"1474","Lysosome","CC"
"1475","Lytic Vacuole","CC"
"1476","Macromolecular Complex","CC"
"1477","Membrane","CC"
"1478","Membrane-Bounded Organelle","CC"
"1479","Membrane-Bounded Vesicle","CC"
"1480","Membrane-Enclosed Lumen","CC"
"1481","Membrane Coat","CC"
"1482","Membrane Fraction","CC"
"1483","Membrane Part","CC"
"1484","Microbody","CC"
"1485","Microbody Membrane","CC"
"1486","Microbody Part","CC"
"1487","Microsome","CC"
"1488","Microtubule","CC"
"1489","Microtubule Associated Complex","CC"
"1490","Microtubule Cytoskeleton","CC"
"1491","Microtubule Organizing Center","CC"
"1492","Mismatch Repair Complex","CC"
"1493","Mitochondrial Envelope","CC"
"1494","Mitochondrial Inner Membrane","CC"
"1495","Mitochondrial Inner Membrane Presequence Translocase Complex","CC"
"1496","Mitochondrial Intermembrane Space","CC"
"1497","Mitochondrial Intermembrane Space Protein Transporter Complex","CC"
"1498","Mitochondrial Matrix","CC"
"1499","Mitochondrial Membrane","CC"
"1500","Mitochondrial Membrane Part","CC"
"1501","Mitochondrial Outer Membrane","CC"
"1502","Mitochondrial Outer Membrane Translocase Complex","CC"
"1503","Mitochondrial Part","CC"
"1504","Mitochondrial Respiratory Chain","CC"
"1505","Mitochondrial Ribosome","CC"
"1506","Mitochondrion","CC"
"1507","Molybdopterin Synthase Complex","CC"
"1508","Monolayer-Surrounded Lipid Storage Body","CC"
"1509","Mre11 Complex","CC"
"1510","Multimeric Ribonuclease P Complex","CC"
"1511","Mutsalpha Complex","CC"
"1512","Mutsbeta Complex","CC"
"1513","Myosin Complex","CC"
"1514","Mediator Complex","CC"
"1515","Nematocyst","CC"
"1516","Non-Membrane-Bounded Organelle","CC"
"1517","Nonhomologous End Joining Complex","CC"
"1518","Nuclear Chromosome","CC"
"1519","Nuclear Chromosome, Telomeric Region","CC"
"1520","Nuclear Chromosome Part","CC"
"1521","Nuclear Dna-Directed Rna Polymerase Complex","CC"
"1522","Nuclear Envelope","CC"
"1523","Nuclear Lumen","CC"
"1524","Nuclear Origin Of Replication Recognition Complex","CC"
"1525","Nuclear Outer Membrane-Endoplasmic Reticulum Membrane Network","CC"
"1526","Nuclear Part","CC"
"1527","Nuclear Pore","CC"
"1528","Nuclear Replication Fork","CC"
"1529","Nuclear Replisome","CC"
"1530","Nuclear Ubiquitin Ligase Complex","CC"
"1531","Nucleolar Part","CC"
"1532","Nucleolar Ribonuclease P Complex","CC"
"1533","Nucleolus","CC"
"1534","Nucleoplasm","CC"
"1535","Nucleoplasm Part","CC"
"1536","Nucleosome","CC"
"1537","Nucleus","CC"
"1538","Occluding Junction","CC"
"1539","Oligosaccharyltransferase Complex","CC"
"1540","Organellar Ribosome","CC"
"1541","Organelle","CC"
"1542","Organelle Envelope","CC"
"1543","Organelle Envelope Lumen","CC"
"1544","Organelle Inner Membrane","CC"
"1545","Organelle Lumen","CC"
"1546","Organelle Membrane","CC"
"1547","Organelle Outer Membrane","CC"
"1548","Organelle Part","CC"
"1549","Origin Recognition Complex","CC"
"1550","Ornithine Carbamoyltransferase Complex","CC"
"1551","Outer Membrane","CC"
"1552","Outer Membrane-Bounded Periplasmic Space","CC"
"1553","Oxoglutarate Dehydrogenase Complex","CC"
"1554","Oxygen Evolving Complex","CC"
"1555","Pcna Complex","CC"
"1556","Peripheral To Membrane Of Membrane Fraction","CC"
"1557","Periplasmic Space","CC"
"1558","Peroxisomal Membrane","CC"
"1559","Peroxisomal Part","CC"
"1560","Peroxisome","CC"
"1561","Phosphatidylinositol 3-Kinase Complex","CC"
"1562","Phosphopyruvate Hydratase Complex","CC"
"1563","Phosphoribosylaminoimidazole Carboxylase Complex","CC"
"1564","Photosynthetic Membrane","CC"
"1565","Photosystem","CC"
"1566","Photosystem I","CC"
"1567","Photosystem Ii","CC"
"1568","Photosystem Ii Reaction Center","CC"
"1569","Photosystem I Reaction Center","CC"
"1570","Plant-Type Cell Wall","CC"
"1571","Plasma Membrane","CC"
"1572","Plasma Membrane-Derived Chromatophore","CC"
"1573","Plasma Membrane Light-Harvesting Complex","CC"
"1574","Plasma Membrane Part","CC"
"1575","Plastid","CC"
"1576","Plastid Envelope","CC"
"1577","Plastid Membrane","CC"
"1578","Plastid Outer Membrane","CC"
"1579","Plastid Part","CC"
"1580","Plastid Stroma","CC"
"1581","Pore Complex","CC"
"1582","Potassium Channel Complex","CC"
"1583","Prefoldin Complex","CC"
"1584","Preribosome","CC"
"1585","Preribosome, Small Subunit Precursor","CC"
"1586","Proteasome Accessory Complex","CC"
"1587","Proteasome Complex","CC"
"1588","Proteasome Core Complex","CC"
"1589","Proteasome Regulatory Particle","CC"
"1590","Protein-Dna Complex","CC"
"1591","Proteinaceous Extracellular Matrix","CC"
"1592","Protein Complex","CC"
"1593","Protein Kinase Ck2 Complex","CC"
"1594","Protein Phosphatase Type 2A Complex","CC"
"1595","Protein Serine/Threonine Phosphatase Complex","CC"
"1596","Proton-Transporting Two-Sector Atpase Complex","CC"
"1597","Proton-Transporting Two-Sector Atpase Complex, Catalytic Domain","CC"
"1598","Proton-Transporting V-Type Atpase, V1 Domain","CC"
"1599","Proton-Transporting V-Type Atpase Complex","CC"
"1600","Pyruvate Dehydrogenase Complex","CC"
"1601","Receptor Complex","CC"
"1602","Replication Fork","CC"
"1603","Replisome","CC"
"1604","Respiratory Chain","CC"
"1605","Retromer Complex","CC"
"1606","Riboflavin Synthase Complex","CC"
"1607","Ribonuclease Mrp Complex","CC"
"1608","Ribonuclease P Complex","CC"
"1609","Ribonucleoprotein Complex","CC"
"1610","Ribonucleoside-Diphosphate Reductase Complex","CC"
"1611","Ribosome","CC"
"1612","Ribulose Bisphosphate Carboxylase Complex","CC"
"1613","Rna-Induced Silencing Complex","CC"
"1614","Rnai Effector Complex","CC"
"1615","Rna Polymerase Complex","CC"
"1616","Rough Endoplasmic Reticulum","CC"
"1617","Rough Endoplasmic Reticulum Membrane","CC"
"1618","Signal Peptidase Complex","CC"
"1619","Signal Recognition Particle","CC"
"1620","Signal Recognition Particle, Endoplasmic Reticulum Targeting","CC"
"1621","Signal Recognition Particle Receptor Complex","CC"
"1622","Small-Subunit Processome","CC"
"1623","Small Nucleolar Ribonucleoprotein Complex","CC"
"1624","Small Ribosomal Subunit","CC"
"1625","Spindle","CC"
"1626","Spindle Pole","CC"
"1627","Spliceosomal Complex","CC"
"1628","Ssl2-Core Tfiih Complex","CC"
"1629","Subsynaptic Reticulum","CC"
"1630","Synapse","CC"
"1631","Synapse Part","CC"
"1632","Synaptic Vesicle","CC"
"1633","Thylakoid","CC"
"1634","Thylakoid Membrane","CC"
"1635","Thylakoid Part","CC"
"1636","Tight Junction","CC"
"1637","Trans-Golgi Network Transport Vesicle","CC"
"1638","Trans-Golgi Network Transport Vesicle Membrane","CC"
"1639","Transcription Factor Complex","CC"
"1640","Transcription Factor Tfiia Complex","CC"
"1641","Transcription Factor Tfiid Complex","CC"
"1642","Transcription Factor Tfiie Complex","CC"
"1643","Transcription Factor Tfiif Complex","CC"
"1644","Transport Vesicle","CC"
"1645","Transport Vesicle Membrane","CC"
"1646","Tricarboxylic Acid Cycle Enzyme Complex","CC"
"1647","Trna-Intron Endonuclease Complex","CC"
"1648","Ubiquitin Ligase Complex","CC"
"1649","Vacuolar Membrane","CC"
"1650","Vacuolar Part","CC"
"1651","Vacuolar Proton-Transporting V-Type Atpase, V1 Domain","CC"
"1652","Vacuolar Proton-Transporting V-Type Atpase Complex","CC"
"1653","Vacuole","CC"
"1654","Vesicle","CC"
"1655","Vesicle Coat","CC"
"1656","Vesicle Membrane","CC"
"1657","Vesicular Fraction","CC"
"1658","Viral Capsid","CC"
"1659","Virion","CC"
"1660","Virion Part","CC"
"1661","Voltage-Gated Potassium Channel Complex","CC"
"1662","1,3-Beta-D-Glucan Synthase Activity","MF"
"1663","1,4-Dihydroxy-2-Naphthoyl-Coa Synthase Activity","MF"
"1664","1-(5-Phosphoribosyl)-5-[(5-Phosphoribosylamino)Methylideneamino]Imidazole-4-Carboxamide Isomerase Activity","MF"
"1665","1-Aminocyclopropane-1-Carboxylate Synthase Activity","MF"
"1666","1-Deoxy-D-Xylulose-5-Phosphate Synthase Activity","MF"
"1667","1-Phosphatidylinositol-3-Kinase Activity","MF"
"1668","1-Phosphatidylinositol Binding","MF"
"1669","2,3-Dihydro-2,3-Dihydroxybenzoate Dehydrogenase Activity","MF"
"1670","2-Amino-4-Hydroxy-6-Hydroxymethyldihydropteridine Diphosphokinase Activity","MF"
"1671","2-C-Methyl-D-Erythritol 2,4-Cyclodiphosphate Synthase Activity","MF"
"1672","2-Isopropylmalate Synthase Activity","MF"
"1673","2-Polyprenyl-6-Methoxy-1,4-Benzoquinone Methyltransferase Activity","MF"
"1674","2 Iron, 2 Sulfur Cluster Binding","MF"
"1675","3(2),5-Bisphosphate Nucleotidase Activity","MF"
"1676","3-5-Exoribonuclease Activity","MF"
"1677","3-5 Exonuclease Activity","MF"
"1678","3,4-Dihydroxy-2-Butanone-4-Phosphate Synthase Activity","MF"
"1679","3-Beta-Hydroxy-Delta5-Steroid Dehydrogenase Activity","MF"
"1680","3-Dehydroquinate Dehydratase Activity","MF"
"1681","3-Dehydroquinate Synthase Activity","MF"
"1682","3-Deoxy-7-Phosphoheptulonate Synthase Activity","MF"
"1683","3-Deoxy-8-Phosphooctulonate Synthase Activity","MF"
"1684","3-Deoxy-Manno-Octulosonate Cytidylyltransferase Activity","MF"
"1685","3-Hydroxyisobutyrate Dehydrogenase Activity","MF"
"1686","3-Isopropylmalate Dehydratase Activity","MF"
"1687","3-Isopropylmalate Dehydrogenase Activity","MF"
"1688","3-Methyl-2-Oxobutanoate Hydroxymethyltransferase Activity","MF"
"1689","3-Oxoacyl-[Acyl-Carrier-Protein] Reductase (Nadph) Activity","MF"
"1690","3-Oxoacyl-[Acyl-Carrier-Protein] Synthase Activity","MF"
"1691","3-Phosphoshikimate 1-Carboxyvinyltransferase Activity","MF"
"1692","4-(Cytidine 5-Diphospho)-2-C-Methyl-D-Erythritol Kinase Activity","MF"
"1693","4-Alpha-Glucanotransferase Activity","MF"
"1694","4-Hydroxyphenylpyruvate Dioxygenase Activity","MF"
"1695","4 Iron, 4 Sulfur Cluster Binding","MF"
"1696","5-3 Exonuclease Activity","MF"
"1697","5,10-Methylenetetrahydrofolate-Dependent Methyltransferase Activity","MF"
"1698","5-Amino-6-(5-Phosphoribosylamino)Uracil Reductase Activity","MF"
"1699","5-Formyltetrahydrofolate Cyclo-Ligase Activity","MF"
"1700","5-Methyltetrahydropteroyltri-L-Glutamate-Dependent Methyltransferase Activity","MF"
"1701","5-Methyltetrahydropteroyltriglutamate-Homocysteine S-Methyltransferase Activity","MF"
"1702","5S Rrna Binding","MF"
"1703","6-Phosphofructokinase Activity","MF"
"1704","6-Phosphogluconolactonase Activity","MF"
"1705","7S Rna Binding","MF"
"1706","Acetate-Coa Ligase Activity","MF"
"1707","Acetolactate Synthase Activity","MF"
"1708","Acetyl-Coa:L-Glutamate N-Acetyltransferase Activity","MF"
"1709","Acetylglucosaminyltransferase Activity","MF"
"1710","Acetylglutamate Kinase Activity","MF"
"1711","Acetyltransferase Activity","MF"
"1712","Acid-Amino Acid Ligase Activity","MF"
"1713","Acid-Ammonia (Or Amide) Ligase Activity","MF"
"1714","Acid-Thiol Ligase Activity","MF"
"1715","Acid Phosphatase Activity","MF"
"1716","Acp Phosphopantetheine Attachment Site Binding Involved In Fatty Acid Biosynthetic Process","MF"
"1717","Actin Binding","MF"
"1718","Actin Filament Binding","MF"
"1719","Active Transmembrane Transporter Activity","MF"
"1720","Acyl-Coa Dehydrogenase Activity","MF"
"1721","Acyl-Coa Oxidase Activity","MF"
"1722","Acyl-[Acyl-Carrier-Protein]-Udp-N-Acetylglucosamine O-Acyltransferase Activity","MF"
"1723","Acyl-[Acyl-Carrier-Protein] Desaturase Activity","MF"
"1724","Acylphosphatase Activity","MF"
"1725","Adenine Phosphoribosyltransferase Activity","MF"
"1726","Adenosine Deaminase Activity","MF"
"1727","Adenosine Kinase Activity","MF"
"1728","Adenosylhomocysteinase Activity","MF"
"1729","Adenosylmethionine Decarboxylase Activity","MF"
"1730","Adenyl-Nucleotide Exchange Factor Activity","MF"
"1731","Adenylate Cyclase Activity","MF"
"1732","Adenylate Kinase Activity","MF"
"1733","Adenylosuccinate Synthase Activity","MF"
"1734","Adenylyltransferase Activity","MF"
"1735","Adenyl Nucleotide Binding","MF"
"1736","Adenyl Ribonucleotide Binding","MF"
"1737","Alanine-Trna Ligase Activity","MF"
"1738","Aldehyde-Lyase Activity","MF"
"1739","Aldehyde Dehydrogenase [Nad(P)] Activity","MF"
"1740","Alkali Metal Ion Binding","MF"
"1741","Alkylbase Dna N-Glycosylase Activity","MF"
"1742","Alpha,Alpha-Trehalase Activity","MF"
"1743","Alpha,Alpha-Trehalose-Phosphate Synthase (Udp-Forming) Activity","MF"
"1744","Alpha-(1,2)-Fucosyltransferase Activity","MF"
"1745","Alpha-1,3-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity","MF"
"1746","Alpha-1,6-Mannosylglycoprotein 2-Beta-N-Acetylglucosaminyltransferase Activity","MF"
"1747","Alpha-Amylase Activity","MF"
"1748","Alpha-L-Fucosidase Activity","MF"
"1749","Alpha-Mannosidase Activity","MF"
"1750","Alpha-N-Arabinofuranosidase Activity","MF"
"1751","Amidine-Lyase Activity","MF"
"1752","Amidophosphoribosyltransferase Activity","MF"
"1753","Amine-Lyase Activity","MF"
"1754","Amine Binding","MF"
"1755","Amine Transmembrane Transporter Activity","MF"
"1756","Amino-Acid Racemase Activity","MF"
"1757","Aminoacyl-Trna Hydrolase Activity","MF"
"1758","Aminoacyl-Trna Ligase Activity","MF"
"1759","Aminoacylase Activity","MF"
"1760","Aminomethyltransferase Activity","MF"
"1761","Aminopeptidase Activity","MF"
"1762","Aminophospholipid Transporter Activity","MF"
"1763","Amino Acid Binding","MF"
"1764","Amino Acid Kinase Activity","MF"
"1765","Amino Acid Transmembrane Transporter Activity","MF"
"1766","Ammonia-Lyase Activity","MF"
"1767","Ammonia Ligase Activity","MF"
"1768","Ammonium Transmembrane Transporter Activity","MF"
"1769","Amp Binding","MF"
"1770","Amp Deaminase Activity","MF"
"1771","Amylase Activity","MF"
"1772","Anion:Anion Antiporter Activity","MF"
"1773","Anion:Cation Symporter Activity","MF"
"1774","Anion Binding","MF"
"1775","Anion Channel Activity","MF"
"1776","Anion Transmembrane Transporter Activity","MF"
"1777","Anthranilate Phosphoribosyltransferase Activity","MF"
"1778","Anthranilate Synthase Activity","MF"
"1779","Antibiotic Transporter Activity","MF"
"1780","Antioxidant Activity","MF"
"1781","Antiporter Activity","MF"
"1782","Arf Gtpase Activator Activity","MF"
"1783","Arf Guanyl-Nucleotide Exchange Factor Activity","MF"
"1784","Arginine-Trna Ligase Activity","MF"
"1785","Arginine Decarboxylase Activity","MF"
"1786","Argininosuccinate Lyase Activity","MF"
"1787","Argininosuccinate Synthase Activity","MF"
"1788","Arginyltransferase Activity","MF"
"1789","Asparaginase Activity","MF"
"1790","Asparagine-Trna Ligase Activity","MF"
"1791","Asparagine Synthase (Glutamine-Hydrolyzing) Activity","MF"
"1792","Aspartate-Semialdehyde Dehydrogenase Activity","MF"
"1793","Aspartate-Trna Ligase Activity","MF"
"1794","Aspartate Carbamoyltransferase Activity","MF"
"1795","Aspartate Kinase Activity","MF"
"1796","Aspartate Oxidase Activity","MF"
"1797","Aspartic-Type Endopeptidase Activity","MF"
"1798","Aspartic-Type Peptidase Activity","MF"
"1799","Atp-Dependent Dna Helicase Activity","MF"
"1800","Atp-Dependent Helicase Activity","MF"
"1801","Atp-Dependent Peptidase Activity","MF"
"1802","Atp:Adp Antiporter Activity","MF"
"1803","Atpase Activator Activity","MF"
"1804","Atpase Activity","MF"
"1805","Atpase Activity, Coupled","MF"
"1806","Atpase Activity, Coupled To Movement Of Substances","MF"
"1807","Atpase Activity, Coupled To Transmembrane Movement Of Ions","MF"
"1808","Atpase Activity, Coupled To Transmembrane Movement Of Ions, Phosphorylative Mechanism","MF"
"1809","Atpase Activity, Coupled To Transmembrane Movement Of Substances","MF"
"1810","Atpase Regulator Activity","MF"
"1811","Atp Binding","MF"
"1812","Atp Citrate Synthase Activity","MF"
"1813","Beta-1,4-Mannosylglycoprotein 4-Beta-N-Acetylglucosaminyltransferase Activity","MF"
"1814","Beta-Amylase Activity","MF"
"1815","Beta-Catenin Binding","MF"
"1816","Beta-Galactosidase Activity","MF"
"1817","Beta-Lactamase Activity","MF"
"1818","Beta-N-Acetylhexosaminidase Activity","MF"
"1819","Bile Acid:Sodium Symporter Activity","MF"
"1820","Bile Acid Transmembrane Transporter Activity","MF"
"1821","Binding","MF"
"1822","Biotin-Protein Ligase Activity","MF"
"1823","Biotin-[Acetyl-Coa-Carboxylase] Ligase Activity","MF"
"1824","Biotin Binding","MF"
"1825","Biotin Synthase Activity","MF"
"1826","Branched-Chain-Amino-Acid Transaminase Activity","MF"
"1827","C-Methyltransferase Activity","MF"
"1828","Calcium-Dependent Cysteine-Type Endopeptidase Activity","MF"
